user_id,in_degree,out_degree,pagerank,kcore,comment,reposts,total_engagement,user_followers,is_official
201456,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201455,112,28,0.0005350191279525396,3,90.0,46.0,136.0,133372.0,0
201504,1,1,2.5643043447415897e-05,1,1.0,0.0,1.0,740.0,0
201505,1,1,2.5643043447415897e-05,1,1.0,0.0,1.0,299.0,0
201506,1,1,2.5643043447415897e-05,1,1.0,0.0,1.0,162.0,0
201507,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201508,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
104605,0,4,2.1350185746615998e-06,3,0.0,0.0,0.0,0.0,0
201509,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201510,0,2,2.1350185746615998e-06,2,0.0,0.0,0.0,0.0,0
201511,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201512,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201513,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201514,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201515,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201516,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201517,0,2,2.1350185746615998e-06,2,0.0,0.0,0.0,0.0,0
201518,0,2,2.1350185746615998e-06,2,0.0,0.0,0.0,0.0,0
201519,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201520,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201521,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
19610,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201522,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201523,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201524,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201525,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201545,2,2,5.110263957662297e-05,2,2.0,0.0,2.0,472.0,0
201546,1,1,2.5643043447415897e-05,1,1.0,0.0,1.0,122.0,0
201547,1,1,2.5643043447415897e-05,1,1.0,0.0,1.0,104.0,0
201548,1,1,2.5643043447415897e-05,1,1.0,0.0,1.0,42.0,0
201633,2,1,2.6550426341647077e-05,2,2.0,0.0,2.0,2.0,0
201635,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201636,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201637,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201638,0,2,2.1350185746615998e-06,2,0.0,0.0,0.0,0.0,0
201639,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201640,1,1,2.5643043447415897e-05,1,1.0,0.0,1.0,105.0,0
201641,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201642,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201643,1,1,2.5643043447415897e-05,1,1.0,0.0,1.0,299.0,0
201644,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201645,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201646,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201647,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201648,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201649,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201650,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201651,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201652,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201653,1,2,2.5643043447415897e-05,2,2.0,0.0,2.0,37.0,0
201654,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201655,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201656,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201657,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201658,1,1,2.5643043447415897e-05,1,2.0,0.0,2.0,144.0,0
201659,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201660,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201661,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201662,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201663,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201664,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201665,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201666,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201667,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201668,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201669,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201670,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201634,0,2,2.1350185746615998e-06,2,0.0,0.0,0.0,0.0,0
191321,0,2,2.1350185746615998e-06,2,0.0,0.0,0.0,0.0,0
201671,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201672,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
201673,0,1,2.1350185746615998e-06,1,0.0,0.0,0.0,0.0,0
