product_name,rank_by_model_score,user_id,official_influencer,followers,engagement_comments_plus_reposts,people_who_engaged,pagerank_centrality
abc_reading,1,84769,0,953194,9290,5676,0.012913851574449329
abc_reading,2,185,0,16153761,8325,4700,0.009839790058932558
abc_reading,3,84700,0,385320,10213,2712,0.008042495939473546
abc_reading,4,71739,0,270321,4542,3747,0.010970203850630338
abc_reading,5,42692,0,176281,4908,3928,0.011568716369821595
abc_reading,6,87762,0,549417,2193,1453,0.0032781316791237955
abc_reading,7,84952,0,2007157,5130,1629,0.005389552644217482
abc_reading,8,82098,0,1261987,7877,1536,0.003948574008597636
abc_reading,9,83142,0,698593,3520,1230,0.004008302214924908
abc_reading,10,96967,0,31349,3250,2901,0.013268120225184673
abc_reading,11,83090,0,1812943,14075,1225,0.0029173299502240103
abc_reading,12,85447,0,822180,3919,1625,0.007983350838335127
abc_reading,13,97396,0,2101935,3205,1106,0.004601427027322388
abc_reading,14,150218,0,151356,5539,1543,0.00658073255379487
abc_reading,15,99127,0,483374,2044,1034,0.003131466555466536
abc_reading,16,84371,0,1117137,5012,969,0.0039486638985748584
abc_reading,17,84851,0,1065291,1967,997,0.003103421461943425
abc_reading,18,103064,0,380459,1594,841,0.002697820717639031
abc_reading,19,84368,0,1072820,2222,847,0.0024429118456495823
abc_reading,20,201468,1,257307,1536,1197,0.00722839244355853
abc_reading,21,16820,0,1853564,954,728,0.001706125779423576
abc_reading,22,162966,0,854330,1496,836,0.004578388235937089
abc_reading,23,104785,0,6815996,9129,5077,0.023752438086322724
abc_reading,24,84398,0,253492,1032,780,0.0018276615756904013
abc_reading,25,81584,0,233699,6204,1522,0.012461475308309718
abc_reading,26,83082,0,1098010,8163,706,0.002875355063600656
abc_reading,27,103416,0,195223,894,648,0.0019923738194620516
abc_reading,28,84841,0,722447,1881,556,0.0022222744055231092
abc_reading,29,87763,0,633664,2540,622,0.0027653830353951644
abc_reading,30,98782,0,1598846,1671,653,0.003707669831650782
abc_reading,31,72605,0,241890,1316,556,0.0026473838224039103
abc_reading,32,83672,0,271576,4507,610,0.0039416842477560275
abc_reading,33,84715,0,195959,1208,564,0.002130965948875447
abc_reading,34,83253,0,323900,10950,527,0.002700292324105452
abc_reading,35,87871,0,158268,1327,545,0.0030984405272936485
abc_reading,36,83806,0,375878,13224,496,0.002502639073013175
abc_reading,37,84386,0,3379424,2608,575,0.0034410416668719944
abc_reading,38,98565,0,244732,1687,480,0.0032625252102862334
abc_reading,39,86882,0,134306,1543,555,0.0028244098071745455
abc_reading,40,203504,0,265727,617,493,0.002895119514218956
abc_reading,41,156296,0,153197,2271,1703,0.01472480814050244
abc_reading,42,88265,0,424708,1277,475,0.0022418743227137776
abc_reading,43,84357,0,295188,1393,498,0.003273953203158394
abc_reading,44,96960,0,1060861,7375,577,0.005039495078046737
abc_reading,45,84948,0,834292,2079,478,0.0035857992882282453
abc_reading,46,100242,0,585600,1186,487,0.0033485518603937436
abc_reading,47,83585,0,50208,2457,389,0.0019466094807000026
abc_reading,48,83865,0,258582,2398,466,0.0034694159955742172
abc_reading,49,71802,0,816684,920,456,0.003499538870779171
abc_reading,50,72595,0,208583,1153,470,0.0029666545850106744
