product_name,rank_by_model_score,user_id,official_influencer,followers,engagement_comments_plus_reposts,people_who_engaged,pagerank_centrality,model_score,is_in_top20pct_engagement
intelligent_floor_scrubber,1,185,0,16155412,6096,3750,0.007472652640924752,1.0,1
intelligent_floor_scrubber,2,84854,0,394,356,75,0.0006993116319536372,1.0,1
intelligent_floor_scrubber,3,84391,0,148344,244,49,0.0005060812580280971,1.0,1
intelligent_floor_scrubber,4,84393,0,987417,517,140,0.001891951976478878,1.0,1
intelligent_floor_scrubber,5,84398,0,253288,719,506,0.0021007275379014197,1.0,1
intelligent_floor_scrubber,6,84662,0,923713,647,239,0.002042652941385482,1.0,1
intelligent_floor_scrubber,7,84700,0,385344,8596,2511,0.007916221219752682,1.0,1
intelligent_floor_scrubber,8,84715,0,195947,1121,549,0.00248430536965088,1.0,1
intelligent_floor_scrubber,9,84723,0,288786,221,37,0.0007158228909996672,1.0,1
intelligent_floor_scrubber,10,84724,0,188680,725,154,0.0013299308313088642,1.0,1
intelligent_floor_scrubber,11,84769,0,973230,10439,5341,0.013043566967976268,1.0,1
intelligent_floor_scrubber,12,84824,0,50126,133,20,0.0003558139150232494,1.0,1
intelligent_floor_scrubber,13,84837,0,458846,798,193,0.0017439656345316736,1.0,1
intelligent_floor_scrubber,14,84859,0,105053,614,103,0.001117001409981336,1.0,1
intelligent_floor_scrubber,15,84386,0,3379517,2510,565,0.0036912264549377174,1.0,1
intelligent_floor_scrubber,16,84878,0,412268,2021,293,0.0031169325494734964,1.0,1
intelligent_floor_scrubber,17,84879,0,229106,867,125,0.0010192832495936868,1.0,1
intelligent_floor_scrubber,18,84947,0,2015607,782,250,0.002562300938294204,1.0,1
intelligent_floor_scrubber,19,84948,0,834309,1412,453,0.003142921425866896,1.0,1
intelligent_floor_scrubber,20,84950,0,394458,1210,212,0.001624260205160255,1.0,1
intelligent_floor_scrubber,21,84952,0,2007154,3604,1580,0.005701617206027883,1.0,1
intelligent_floor_scrubber,22,85201,0,291166,271,104,0.0010152242539519661,1.0,1
intelligent_floor_scrubber,23,85433,0,162436,618,253,0.0016632576964545015,1.0,1
intelligent_floor_scrubber,24,85447,0,821946,3478,1585,0.007557950468922455,1.0,1
intelligent_floor_scrubber,25,85736,0,252451,227,21,0.0003994975305524696,1.0,1
intelligent_floor_scrubber,26,85929,0,226770,147,80,0.0007197300730319709,1.0,1
intelligent_floor_scrubber,27,84390,0,1251156,1310,514,0.00289656828121646,1.0,1
intelligent_floor_scrubber,28,84384,0,224328,563,139,0.0009763890540108531,1.0,1
intelligent_floor_scrubber,29,87312,0,177393,202,84,0.0010639007849853207,1.0,1
intelligent_floor_scrubber,30,83838,0,123865,551,37,0.0003611263676851371,1.0,1
intelligent_floor_scrubber,31,83454,0,194150,1452,322,0.002166355623017311,1.0,1
intelligent_floor_scrubber,32,83585,0,50208,1888,351,0.0021085636890478226,1.0,1
intelligent_floor_scrubber,33,83586,0,21980,151,15,0.0002580112350406652,1.0,1
intelligent_floor_scrubber,34,83587,0,65651,2990,291,0.0033185607743465356,1.0,1
intelligent_floor_scrubber,35,83590,0,215030,601,169,0.001975432415027074,1.0,1
intelligent_floor_scrubber,36,83672,0,271518,4270,608,0.004573015869825894,1.0,1
intelligent_floor_scrubber,37,83679,0,2096044,1551,307,0.0021480794573547194,1.0,1
intelligent_floor_scrubber,38,83722,0,160758,1200,58,0.0005155651486017052,1.0,1
intelligent_floor_scrubber,39,83724,0,189874,354,166,0.0012228822042318589,1.0,1
intelligent_floor_scrubber,40,83806,0,375864,11333,425,0.0016092680668148907,1.0,1
intelligent_floor_scrubber,41,83808,0,12608,297,10,0.00015522460958046404,1.0,1
intelligent_floor_scrubber,42,83865,0,258665,1801,411,0.003134512763643652,1.0,1
intelligent_floor_scrubber,43,84383,0,406528,130,57,0.0010482295507982257,1.0,1
intelligent_floor_scrubber,44,83873,0,1346058,1420,366,0.0016726717907904745,1.0,1
intelligent_floor_scrubber,45,84285,0,148194,424,24,0.0003558840160386663,1.0,1
intelligent_floor_scrubber,46,84287,0,533090,826,163,0.0022375458595503216,1.0,1
intelligent_floor_scrubber,47,84291,0,130269,583,28,0.0004961886417039662,1.0,1
intelligent_floor_scrubber,48,84292,0,108266,678,56,0.0009271038162859353,1.0,1
intelligent_floor_scrubber,49,84306,0,260535,1036,350,0.0016031885604529893,1.0,1
intelligent_floor_scrubber,50,84356,0,428965,379,125,0.0020420710981587657,1.0,1
